Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Radial_D4.0mm_P1.50mm,2,10uF,
J1,EighthInch_PJ398SM_3mmNPTH,1,IN1,
"J10, J11, J12, J13, J14, J15, J16, J17, J18, J19",PinSocket_1x01_P2.54mm_Vertical,10,Conn_01x01_Socket,
J2,EighthInch_PJ398SM_3mmNPTH,1,IN2,
"J20, J21, J22, J23, J24, J25, J26, J27, J28, J29",PinHeader_1x01_P2.54mm_Vertical,10,Conn_01x01_Pin,
J3,IDC-Header_2x05_P2.54mm_Vertical_Euro_Power_Striped_ThickerText,1,Eurorack_Power_10pin_Unshrouded,
J4,EighthInch_PJ398SM_3mmNPTH,1,OUT1,
J5,EighthInch_PJ398SM_3mmNPTH,1,OUT2,
J6,EighthInch_PJ398SM_3mmNPTH,1,OUT3,
J7,EighthInch_PJ398SM_3mmNPTH,1,OUT4,
J8,EighthInch_PJ398SM_3mmNPTH,1,OUT5,
J9,EighthInch_PJ398SM_3mmNPTH,1,OUT6,
"R1, R2, R3, R4, R5, R6, R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,8,330,
"U1, U2",DIP-14_W7.62mm_Socket,2,TL074,
