Designator,Mid X,Mid Y,Rotation,Layer
C1,71.12,-88.352599,270.0,bottom
C2,71.12,-117.562599,270.0,bottom
J1,55.88,-57.776,270.0,top
J10,52.73,-76.81,0.0,bottom
J11,59.207,-130.531,0.0,bottom
J12,52.73,-117.069,0.0,bottom
J13,59.08,-76.81,0.0,bottom
J14,52.73,-90.145,0.0,bottom
J15,59.08,-90.145,0.0,bottom
J16,59.08,-117.069,0.0,bottom
J17,52.73,-130.531,0.0,bottom
J18,58.445,-157.455,0.0,bottom
J19,53.365,-157.455,0.0,bottom
J2,55.88,-111.624,270.0,top
J20,67.945,-76.835,0.0,top
J21,74.422,-130.556,0.0,top
J22,67.945,-117.094,0.0,top
J23,74.295,-76.835,0.0,top
J24,67.945,-90.17,0.0,top
J25,74.295,-90.17,0.0,top
J26,74.295,-117.094,0.0,top
J27,67.945,-130.556,0.0,top
J28,73.66,-157.48,0.0,top
J29,68.58,-157.48,0.0,top
J3,71.12,-103.505,0.0,bottom
J4,55.88,-71.238,270.0,top
J5,55.88,-84.7,270.0,top
J6,55.88,-98.162,270.0,top
J7,55.88,-125.086,270.0,top
J8,55.88,-138.548,270.0,top
J9,55.88,-152.01,270.0,top
R1,71.12,-125.73,0.0,bottom
R2,71.12,-52.2732,0.0,bottom
R3,71.12,-155.194,0.0,bottom
R4,71.12,-152.146,180.0,bottom
R5,71.12,-122.575,180.0,bottom
R6,71.12,-81.28,0.0,bottom
R7,71.12,-84.328,180.0,bottom
R8,71.12,-55.2958,180.0,bottom
U1,71.13,-141.356,0.0,bottom
U2,71.13,-66.045,0.0,bottom
